<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.02.01	04:19:00	1.08171	1.08183	1.08171	1.08182	43	0	0
2024.02.01	04:20:00	1.08181	1.08191	1.08178	1.08183	59	0	0
2024.02.01	04:21:00	1.08182	1.08192	1.08178	1.08184	51	0	0
2024.02.01	04:22:00	1.08184	1.08192	1.08184	1.08187	47	0	0
2024.02.01	04:23:00	1.08187	1.08187	1.08182	1.08184	32	0	0
2024.02.01	04:24:00	1.08185	1.08192	1.08185	1.08188	12	0	1
2024.02.01	04:25:00	1.08186	1.08186	1.08182	1.08183	11	0	1
2024.02.01	04:26:00	1.08183	1.08187	1.08182	1.08183	11	0	1
2024.02.01	04:27:00	1.08184	1.08184	1.08170	1.08170	14	0	1
2024.02.01	04:28:00	1.08171	1.08176	1.08171	1.08173	21	0	0
2024.02.01	04:29:00	1.08174	1.08177	1.08174	1.08174	19	0	0
2024.02.01	04:30:00	1.08175	1.08187	1.08173	1.08186	35	0	0
2024.02.01	04:31:00	1.08187	1.08190	1.08184	1.08186	41	0	0
2024.02.01	04:32:00	1.08185	1.08187	1.08176	1.08177	20	0	0
2024.02.01	04:33:00	1.08178	1.08180	1.08174	1.08174	19	0	0
2024.02.01	04:34:00	1.08175	1.08188	1.08173	1.08188	21	0	0
2024.02.01	04:35:00	1.08189	1.08189	1.08183	1.08183	29	0	0
2024.02.01	04:36:00	1.08182	1.08186	1.08178	1.08179	36	0	0
2024.02.01	04:37:00	1.08180	1.08187	1.08176	1.08186	53	0	0
2024.02.01	04:38:00	1.08187	1.08207	1.08186	1.08203	68	0	0
2024.02.01	04:39:00	1.08204	1.08206	1.08197	1.08197	46	0	0
2024.02.01	04:40:00	1.08198	1.08208	1.08195	1.08207	49	0	0
2024.02.01	04:41:00	1.08208	1.08218	1.08208	1.08217	28	0	0
2024.02.01	04:42:00	1.08218	1.08218	1.08212	1.08213	33	0	0
2024.02.01	04:43:00	1.08212	1.08212	1.08198	1.08203	47	0	0
2024.02.01	04:44:00	1.08202	1.08217	1.08201	1.08216	43	0	0
2024.02.01	04:45:00	1.08217	1.08217	1.08201	1.08204	41	0	0
2024.02.01	04:46:00	1.08204	1.08209	1.08203	1.08203	34	0	0
2024.02.01	04:47:00	1.08203	1.08208	1.08200	1.08205	25	0	0
2024.02.01	04:48:00	1.08204	1.08212	1.08204	1.08207	45	0	0
2024.02.01	04:49:00	1.08207	1.08211	1.08202	1.08203	38	0	0
2024.02.01	04:50:00	1.08203	1.08204	1.08192	1.08194	70	0	0
2024.02.01	04:51:00	1.08194	1.08199	1.08192	1.08193	38	0	0
2024.02.01	04:52:00	1.08193	1.08195	1.08188	1.08189	33	0	0
2024.02.01	04:53:00	1.08190	1.08203	1.08190	1.08202	22	0	0
2024.02.01	04:54:00	1.08202	1.08202	1.08193	1.08198	27	0	0
2024.02.01	04:55:00	1.08196	1.08198	1.08194	1.08197	17	0	0
2024.02.01	04:56:00	1.08198	1.08198	1.08194	1.08196	28	0	0
2024.02.01	04:57:00	1.08195	1.08198	1.08195	1.08197	44	0	0
2024.02.01	04:58:00	1.08196	1.08204	1.08196	1.08203	39	0	0
2024.02.01	04:59:00	1.08202	1.08211	1.08193	1.08193	50	0	0
2024.02.01	05:00:00	1.08192	1.08194	1.08188	1.08193	35	0	0
2024.02.01	05:01:00	1.08194	1.08194	1.08187	1.08188	9	0	1
2024.02.01	05:02:00	1.08188	1.08193	1.08187	1.08192	12	0	0
2024.02.01	05:03:00	1.08191	1.08197	1.08191	1.08196	26	0	1
2024.02.01	05:04:00	1.08195	1.08198	1.08187	1.08188	48	0	0
2024.02.01	05:05:00	1.08188	1.08199	1.08188	1.08197	37	0	0
2024.02.01	05:06:00	1.08198	1.08209	1.08197	1.08198	60	0	0
2024.02.01	05:07:00	1.08196	1.08201	1.08195	1.08197	21	0	1
2024.02.01	05:08:00	1.08198	1.08200	1.08196	1.08196	38	0	0
2024.02.01	05:09:00	1.08196	1.08196	1.08191	1.08191	17	0	2
2024.02.01	05:10:00	1.08192	1.08199	1.08191	1.08196	38	0	0
2024.02.01	05:11:00	1.08197	1.08197	1.08190	1.08191	24	0	0
2024.02.01	05:12:00	1.08190	1.08191	1.08183	1.08187	15	0	0
2024.02.01	05:13:00	1.08187	1.08187	1.08182	1.08187	13	0	0
2024.02.01	05:14:00	1.08188	1.08198	1.08187	1.08197	19	0	0
2024.02.01	05:15:00	1.08197	1.08200	1.08188	1.08188	13	0	0
2024.02.01	05:16:00	1.08188	1.08189	1.08177	1.08177	22	0	0
2024.02.01	05:17:00	1.08176	1.08183	1.08176	1.08178	26	0	0
2024.02.01	05:18:00	1.08177	1.08185	1.08176	1.08182	21	0	0
2024.02.01	05:19:00	1.08183	1.08183	1.08181	1.08183	19	0	0
2024.02.01	05:20:00	1.08182	1.08184	1.08177	1.08177	27	0	0
2024.02.01	05:21:00	1.08176	1.08179	1.08172	1.08179	25	0	0
2024.02.01	05:22:00	1.08177	1.08180	1.08170	1.08171	12	0	1
2024.02.01	05:23:00	1.08170	1.08171	1.08162	1.08163	14	0	0
2024.02.01	05:24:00	1.08162	1.08166	1.08161	1.08165	25	0	0
2024.02.01	05:25:00	1.08163	1.08164	1.08159	1.08162	11	0	0
2024.02.01	05:26:00	1.08162	1.08162	1.08144	1.08148	40	0	0
2024.02.01	05:27:00	1.08149	1.08149	1.08140	1.08140	24	0	0
2024.02.01	05:28:00	1.08140	1.08142	1.08137	1.08142	17	0	0
2024.02.01	05:29:00	1.08143	1.08146	1.08140	1.08145	24	0	0
2024.02.01	05:30:00	1.08144	1.08144	1.08135	1.08135	37	0	0
2024.02.01	05:31:00	1.08136	1.08136	1.08133	1.08134	17	0	0
2024.02.01	05:32:00	1.08134	1.08139	1.08128	1.08138	37	0	0
2024.02.01	05:33:00	1.08139	1.08142	1.08138	1.08141	16	0	0
2024.02.01	05:34:00	1.08142	1.08142	1.08134	1.08134	14	0	0
2024.02.01	05:35:00	1.08134	1.08134	1.08127	1.08128	25	0	0
2024.02.01	05:36:00	1.08127	1.08131	1.08121	1.08122	22	0	0
2024.02.01	05:37:00	1.08122	1.08124	1.08119	1.08123	16	0	0
2024.02.01	05:38:00	1.08124	1.08126	1.08110	1.08111	16	0	1
2024.02.01	05:39:00	1.08112	1.08114	1.08111	1.08111	12	0	0
2024.02.01	05:40:00	1.08111	1.08118	1.08111	1.08116	49	0	0
2024.02.01	05:41:00	1.08115	1.08120	1.08113	1.08115	30	0	0
2024.02.01	05:42:00	1.08116	1.08125	1.08116	1.08124	14	0	0
2024.02.01	05:43:00	1.08125	1.08136	1.08125	1.08135	41	0	0
2024.02.01	05:44:00	1.08134	1.08137	1.08131	1.08132	19	0	0
2024.02.01	05:45:00	1.08131	1.08138	1.08129	1.08138	27	0	0
2024.02.01	05:46:00	1.08137	1.08137	1.08127	1.08129	11	0	0
2024.02.01	05:47:00	1.08130	1.08148	1.08130	1.08148	19	0	0
2024.02.01	05:48:00	1.08148	1.08148	1.08142	1.08142	11	0	0
2024.02.01	05:49:00	1.08140	1.08147	1.08137	1.08141	31	0	0
2024.02.01	05:50:00	1.08142	1.08145	1.08142	1.08143	18	0	0
2024.02.01	05:51:00	1.08142	1.08143	1.08136	1.08137	15	0	0
2024.02.01	05:52:00	1.08136	1.08138	1.08134	1.08135	14	0	0
2024.02.01	05:53:00	1.08134	1.08134	1.08128	1.08128	8	0	1
2024.02.01	05:54:00	1.08129	1.08131	1.08127	1.08128	29	0	0
2024.02.01	05:55:00	1.08127	1.08132	1.08125	1.08125	41	0	0
2024.02.01	05:56:00	1.08126	1.08127	1.08119	1.08122	39	0	0
2024.02.01	05:57:00	1.08122	1.08122	1.08116	1.08116	39	0	0
2024.02.01	05:58:00	1.08117	1.08120	1.08117	1.08118	30	0	0
2024.02.01	05:59:00	1.08119	1.08123	1.08115	1.08116	40	0	0
2024.02.01	06:00:00	1.08117	1.08128	1.08117	1.08123	19	0	0
2024.02.01	06:01:00	1.08122	1.08126	1.08122	1.08124	9	0	0
